ClassId,TR,EN
0,abla,sister
1,acele,hurry
2,acýkmak,hungry
3,afiyet_olsun,enjoy_your_meal
4,aðabey,brother
5,aðaç,tree
6,aðýr,heavy
7,aðlamak,cry
8,aile,family
9,akýllý,wise
10,akýlsýz,unwise
11,akraba,kin
12,alýþveriþ,shopping
13,anahtar,key
14,anne,mother
15,arkadaþ,friend
16,atatürk,ataturk
17,ayakkabý,shoe
18,ayna,mirror
19,ayný,same
20,baba,father
21,bahçe,garden
22,bakmak,look
23,bal,honey
24,bardak,glass
25,bayrak,flag
26,bayram,feast
27,bebek,baby
28,bekar,single
29,beklemek,wait
30,ben,I
31,benzin,petrol
32,beraber,together
33,bilgi_vermek,inform
34,biz,we
35,çalýþmak,work
36,Çarþamba,wednesday
37,çatal,fork
38,çay,tea
39,çaydanlýk,teapot
40,çekiç,hammer
41,çirkin,ugly
42,çocuk,child
43,çorba,soup
44,cuma,friday
45,cumartesi,saturday
46,cüzdan,wallet
47,dakika,minute
48,dede,grandfather
49,deðiþtirmek,change
50,devirmek,topple
51,devlet,government
52,doktor,doctor
53,dolu,full
54,evlenmek,wedding
55,dün,yesterday
56,düþmen,enemy
57,duvar,wall
58,eczane,pharmacy
59,eldiven,glove
60,emek,labor
61,emekli,retired
62,erkek,male
63,et,meal
64,ev,house
65,evet,yes
66,evli,married
67,ezberlemek,memorize
68,fil,elephant
69,fotoðraf,photograph
70,futbol,football
71,geçmiþ,past
72,geliþmek,get_well
73,getirmek,bring
74,gol,lake
75,gömlek,shirt
76,görmek,see
77,gösteri,show
78,gülmek,laugh
79,hafif,lightweight
80,haklý,right
81,halý,carpet
82,hasta,ill
83,hastane,hospital
84,hata,fault
85,havlu,towel
86,hayýr,no
87,hayï¿½rlï¿½_olsun,congratulations
88,hayvan,animal
89,hediye,gift
90,helal,halal
91,hep,always
92,hiç,never
93,hoþçakal,goodbye
94,içmek,drink
95,iðne,needle
96,ilaç,medicine
97,ilgilenmemek,not_interested
98,ýþýk,light
99,itmek,push
100,iyi,good
101,kaçmak,escape
102,kahvaltý,breakfast
103,kalem,pencil
104,kalorifer,radiator
105,kapý,door
106,kardeþ,sibling
107,kavsak,crossroads
108,kaza,accident
109,kemer,belt
110,keþke,if_only
111,kim,who
112,kimlik,identity
113,kira,rent
114,kitap,book
115,kýyma,mince
116,kadýn,female
117,koku,smell
118,kolonya,cologne
119,kömür,coal
120,köpek,dog
121,köprü,bridge
122,kötü,bad
123,kucak,lap
124,leke,stain
125,maaþ,salary
126,makas,scissors
127,masa,tongs
128,maþallah,god_preserve
129,melek,angel
130,memnun_olmak,be_pleased
131,mendil,napkin
132,merdiven,stairs
133,misafir,guest
134,müdür,manager
135,musluk,tap
136,nasýl,how
137,neden,why
138,nerede,where
139,nine,grandmother
140,ocak,oven
141,oda,room
142,odun,wood
143,öðretmen,teacher
144,okul,school
145,olimpiyat,olympiad
146,olmaz,nope
147,olur,allright
148,onlar,they
149,orman,forest
150,oruþ,fasting
151,özür,apologize
152,pamuk,cotton
153,pantolon,trousers
154,para,money
155,pastýrma,pastrami
156,patates,potato
157,pazar,sunday
158,pazartesi,monday
159,pencere,window
160,perï¿½embe,thursday
161,piknik,picnic
162,polis,police
163,psikoloji,psychology
164,rica_etmek,request
165,saat,hour
166,sabun,soap
167,salça,sauce
168,Salý,tuesday
169,þampiyon,champion
170,þapka,hat
171,savaþ,war
172,þeker,sugar
173,selam,hi
174,þemsiye,umbrella
175,sen,you
176,senet,bill
177,serbest,free
178,ses,voice
179,sevmek,love
180,þeytan,evil
181,sinir,border
182,siz,you
183,söyle,say
184,söz,promise
185,süt,milk
186,tamam,okay
187,tarak,comb
188,tarih,date
189,tatil,holiday
190,tatlý,sweet
191,tavan,ceiling
192,tehlike,danger
193,telefon,telephone
194,terazi,scales
195,terzi,tailor
196,teþekkür,thanks
197,tornavida,screwdriver
198,türkiye,turkey
199,turuncu,orange
200,tuvalet,toilet
201,un,flour
202,uzak,far
203,üzgün,sad
204,var,existing
205,vergi,tax
206,yakýn,near
207,yalnýz,alone
208,yanlýþ,wrong
209,yapmak,do
210,yarabandý,band-aid
211,yardým,help
212,yarýn,tomorrow
213,yasak,forbidden
214,yastak,pillow
215,yatak,bed
216,yavaþ,slow
217,yemek,eat
218,yemek_pisirmek,cook
219,yýldýz,star
220,yok,absent
221,yol,road
222,yorgun,tired
223,yumurta,egg
224,zaman,time
225,zor,difficult
